ID,Código,Tipo,Latitude,Longitude,Altitude,Município,Estado,Status
153,FHV-P-7153,P,-25.38809840,-49.49808980,961754.000,Pauli,PR,LEVANTADO
154,FHV-P-7154,P,-25.38806132,-49.49893988,961365.000,Pauli,PR,LEVANTADO
155,FHV-P-7155,P,-25.38807215,-49.49956802,960168.000,Pauli,PR,LEVANTADO
156,FHV-P-7156,P,-25.38805730,-49.50019837,958392.000,Pauli,PR,LEVANTADO
157,FHV-P-7159,P,-25.38818117,-49.50121344,962520.000,Pauli,PR,LEVANTADO
158,FHV-P-7160,P,-25.38809626,-49.50046171,963.220,Pauli,PR,LEVANTADO
159,FHV-P-7161,P,-25.38810243,-49.50019966,963.670,Pauli,PR,LEVANTADO
160,FHV-P-7162,P,-25.38891798,-49.50122535,965420.000,Pauli,PR,LEVANTADO
161,FHV-P-7163,P,-25.38824968,-49.50121394,962640.000,Pauli,PR,LEVANTADO
1,FHV- P 7170,P,-25.38628493,-49.50124379,960910.000,Pauli,PR,LEVANTADO
162,FHV-P-7171,P,-25.38906344,-49.50121951,961854.000,Pauli,PR,LEVANTADO
163,FHV-P-7179,P,-25.37933968,-49.49559940,971457.000,Pauli,PR,LEVANTADO
164,FHV-P-7185,P,-25.38811730,-49.49956819,964814.000,Pauli,PR,LEVANTADO
165,FHV-P-7186,P,-25.38810646,-49.49893893,966527.000,Pauli,PR,LEVANTADO
166,FHV-V-0001,V,-25.43006726,-49.59806041,822.720,JUFAP,PR,LEVANTADO
167,FHV-V-0002,V,-25.43504021,-49.61119132,855.710,JUFAP/DOM RODRIGO,PR,LEVANTADO
168,FHV-V-0003,V,-25.43492678,-49.61118844,855.560,JUFAP,PR,LEVANTADO
169,FHV-V-0004,V,-25.43278980,-49.61124218,856.480,JUFAP,PR,LEVANTADO
170,FHV-V-0005,V,-25.43263282,-49.61124616,856.320,JUFAP,PR,LEVANTADO
171,FHV-V-0006,V,-25.43254581,-49.61124855,856.240,JUFAP,PR,LEVANTADO
172,FHV-V-0007,V,-25.43205864,-49.61126179,855.360,JUFAP,PR,LEVANTADO
173,FHV-V-0008,V,-25.43190649,-49.61126980,855.080,JUFAP,PR,LEVANTADO
174,FHV-V-0009,V,-25.43177085,-49.61127693,855.370,JUFAP,PR,LEVANTADO
175,FHV-V-0010,V,-25.43152781,-49.61129791,855.880,JUFAP,PR,LEVANTADO
176,FHV-V-0011,V,-25.43148253,-49.61130181,855.610,JUFAP,PR,LEVANTADO
177,FHV-V-0012,V,-25.43119646,-49.61133671,853.910,JUFAP,PR,LEVANTADO
178,FHV-V-0013,V,-25.43105165,-49.61135666,853.040,JUFAP,PR,LEVANTADO
179,FHV-V-0014,V,-25.43066806,-49.61140948,853.710,JUFAP,PR,LEVANTADO
180,FHV-V-0015,V,-25.43033956,-49.61145461,853.110,JUFAP,PR,LEVANTADO
181,FHV-V-0016,V,-25.43021999,-49.61147119,852.890,JUFAP,PR,LEVANTADO
182,FHV-V-0017,V,-25.42990945,-49.61151423,850.410,JUFAP,PR,LEVANTADO
183,FHV-V-0018,V,-25.42928125,-49.61160325,848.420,JUFAP,PR,LEVANTADO
184,FHV-V-0019,V,-25.42914869,-49.61163063,848.000,JUFAP,PR,LEVANTADO
185,FHV-V-0020,V,-25.42899982,-49.61166146,847.300,JUFAP,PR,LEVANTADO
186,FHV-V-0021,V,-25.42892751,-49.61168148,846.960,JUFAP,PR,LEVANTADO
187,FHV-V-0022,V,-25.42872210,-49.61173832,847.000,JUFAP,PR,LEVANTADO
188,FHV-V-0023,V,-25.42867413,-49.61175498,847.010,JUFAP,PR,LEVANTADO
189,FHV-V-0024,V,-25.42844834,-49.61183333,846.650,JUFAP,PR,LEVANTADO
190,FHV-V-0025,V,-25.42841605,-49.61184643,846.600,JUFAP,PR,LEVANTADO
191,FHV-V-0026,V,-25.42823987,-49.61192053,845.860,JUFAP,PR,LEVANTADO
192,FHV-V-0027,V,-25.42821470,-49.61193166,845.950,JUFAP,PR,LEVANTADO
193,FHV-V-0028,V,-25.42801102,-49.61202924,846.720,JUFAP,PR,LEVANTADO
194,FHV-V-0029,V,-25.42800491,-49.61203220,847.460,JUFAP,PR,LEVANTADO
195,FHV-V-0030,V,-25.42779132,-49.61215038,848.300,JUFAP,PR,LEVANTADO
196,FHV-V-0031,V,-25.42777355,-49.61216152,848.430,JUFAP,PR,LEVANTADO
197,FHV-V-0032,V,-25.42759754,-49.61227191,849.010,JUFAP,PR,LEVANTADO
198,FHV-V-0033,V,-25.42754162,-49.61230705,849.410,JUFAP,PR,LEVANTADO
199,FHV-V-0034,V,-25.42747319,-49.61235576,849.910,JUFAP,PR,LEVANTADO
200,FHV-V-0035,V,-25.42736054,-49.61243589,850.420,JUFAP,PR,LEVANTADO
201,FHV-V-0036,V,-25.42729000,-49.61249089,850.750,JUFAP,PR,LEVANTADO
202,FHV-V-0037,V,-25.42718451,-49.61257303,850.190,JUFAP,PR,LEVANTADO
203,FHV-V-0038,V,-25.42705239,-49.61268441,849.460,JUFAP,PR,LEVANTADO
204,FHV-V-0039,V,-25.42673161,-49.61295484,846.610,JUFAP,PR,LEVANTADO
205,FHV-V-0040,V,-25.42662109,-49.61305931,845.580,JUFAP,PR,LEVANTADO
206,FHV-V-0041,V,-25.42651542,-49.61316979,844.560,JUFAP,PR,LEVANTADO
207,FHV-V-0042,V,-25.42641447,-49.61328429,843.540,JUFAP,PR,LEVANTADO
208,FHV-V-0043,V,-25.42633772,-49.61337982,842.730,JUFAP,PR,LEVANTADO
209,FHV-V-0044,V,-25.42631764,-49.61340491,842.500,JUFAP,PR,LEVANTADO
210,FHV-V-0045,V,-25.42622922,-49.61352633,841.410,JUFAP,PR,LEVANTADO
211,FHV-V-0046,V,-25.42607241,-49.61374865,839.430,JUFAP,PR,LEVANTADO
212,FHV-V-0047,V,-25.42579184,-49.61414628,839.450,JUFAP,PR,LEVANTADO
213,FHV-V-0048,V,-25.42547618,-49.61456628,839.470,JUFAP,PR,LEVANTADO
214,FHV-V-0049,V,-25.42481817,-49.61541991,839.520,JUFAP,PR,LEVANTADO
215,FHV-V-0050,V,-25.42478730,-49.61545983,839.070,JUFAP,PR,LEVANTADO
216,FHV-V-0051,V,-25.42470122,-49.61558987,837.720,JUFAP,PR,LEVANTADO
217,FHV-V-0052,V,-25.42462286,-49.61572568,836.360,JUFAP,PR,LEVANTADO
218,FHV-V-0053,V,-25.42457584,-49.61582306,835.490,JUFAP,PR,LEVANTADO
