id,codigo,tipo,municipio,estado,coordenada_e,coordenada_n,altitude,latitude,longitude,data_levantamento,metodo,precisao_horizontal,precisao_vertical,observacoes,status,criado_em,atualizado_em
43,FHV-P-0002,P,JUFAP,PR,640863,7187153.28,816.45,-25.425890592988328,-49.59929040685451,,PG6,0.24,0.29,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
44,FHV-P-0003,P,JUFAP,PR,640861.82,7187151.84,815.28,-25.42590370494536,-49.599301987438565,,PG6,0.18,0.19,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
45,FHV-P-0004,P,JUFAP,PR,640853.83,7187149.78,815.3,-25.42592305958132,-49.59938120438895,,PG6,0,0,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
46,FHV-P-0005,P,JUFAP,PR,640849.62,7187145.37,811.97,-25.425963271432394,-49.59942259754954,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
47,FHV-P-0006,P,JUFAP,PR,640851,7187138.62,818.38,-25.426024078719315,-49.59940817395893,,PG6,0.24,0.18,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
48,FHV-P-0007,P,JUFAP,PR,640855.64,7187134.81,818.06,-25.426058035134737,-49.59936164810706,,PG6,0.25,0.24,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
49,FHV-P-0008,P,JUFAP,PR,640859.21,7187117.62,821.52,-25.426212885729218,-49.5993243631418,,PG6,0.14,0.17,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
50,FHV-P-0009,P,JUFAP,PR,640852.72,7187110.78,819.88,-25.426275251382513,-49.59938816927664,,PG6,0.18,0.21,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
51,FHV-P-0010,P,JUFAP,PR,640858.81,7187101.82,814.6,-25.426355563846748,-49.59932669072403,,PG6,0.2,0.29,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
52,FHV-P-0011,P,JUFAP,PR,640864.65,7187100,815.72,-25.426371441049636,-49.599268442668446,,PG6,0.32,0.24,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
53,FHV-P-0012,P,JUFAP,PR,640862.77,7187095.17,815.13,-25.42641522380333,-49.599286628498184,,PG6,0.28,0.27,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
54,FHV-P-0013,P,JUFAP,PR,640879.81,7187075.32,816.04,-25.426592811694757,-49.59911515400931,,PG6,0.19,0.23,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
55,FHV-P-0014,P,JUFAP,PR,640890.6,7187066.67,816.83,-25.426669879843274,-49.59900698251387,,PG6,0.36,0.39,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
56,FHV-P-0015,P,JUFAP,PR,640895.59,7187037.22,820.89,-25.426935277240577,-49.59895430004056,,PG6,0.19,0.3,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
57,FHV-P-0016,P,JUFAP,PR,640877.21,7186996.48,819.02,-25.42730481460574,-49.599132772198686,,PG6,0.23,0.37,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
58,FHV-P-0017,P,JUFAP,PR,640872.51,7186988.8,822.28,-25.427374594082952,-49.59917869574237,,PG6,0.27,0.45,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
59,FHV-P-0018,P,JUFAP,PR,640862.16,7186981.18,839.4,-25.427444367410462,-49.59928079532687,,PG6,0.32,0.4,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
60,FHV-P-0019,P,JUFAP,PR,640851.33,7186962.15,841.38,-25.427617194045062,-49.59938647613188,,PG6,0.59,0.96,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
61,FHV-P-0020,P,JUFAP,PR,640844.61,7186939.55,838,-25.42782186056217,-49.599450924779376,,PG6,0.71,0.99,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
62,FHV-P-0021,P,JUFAP,PR,640846.65,7186911.84,816.53,-25.428071829212996,-49.599427751953705,,PG6,0.74,1.34,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
63,FHV-P-0022,P,JUFAP,PR,640851.67,7186907.52,831.39,-25.428110353784643,-49.59937739425362,,PG6,1.05,1.76,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
64,FHV-P-0023,P,JUFAP,PR,640858.18,7186877.95,833.51,-25.42837669054389,-49.599309588006726,,PG6,0.87,1.05,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
