codigo,x_antigo,y_antigo,x_corrigido,y_corrigido,latitude,longitude,x_alterado,y_alterado
FHV-P-0313,6506134002,71919309687,650613.4002,7191930.9687,-25.381803932955027,-49.502892549443764,Sim,Sim
FHV-P-0314,6506089648,71919028664,650608.9648,7191902.8664,-25.38205807587186,-49.50293349720457,Sim,Sim
FHV-P-0315,6506021167,71918721620,650602.1167,7191872.162,-25.382335953308395,-49.50299813145417,Sim,Sim
FHV-P-0316,6505872477,71918431104,650587.2477,7191843.1104,-25.382599721120727,-49.50314265721595,Sim,Sim
FHV-P-0317,6505777379,71918164813,650577.7379,7191816.4813,-25.38284107772994,-49.503234196344245,Sim,Sim
FHV-P-0318,6505804817,71917868546,650580.4817,7191786.8546,-25.38310825619847,-49.50320363216486,Sim,Sim
FHV-P-0319,6505846351,71917581385,650584.6351,7191758.1385,-25.383367071635565,-49.503159161269075,Sim,Sim
FHV-P-0320,6505840250,71917281998,650584.025,7191728.1998,-25.38363740580689,-49.50316189148348,Sim,Sim
FHV-P-0321,6505806925,71917063052,650580.6925,7191706.3052,-25.383835396925374,-49.503192571108485,Sim,Sim
FHV-P-0322,6505774713,71916885366,650577.4713,7191688.5366,-25.38399612919988,-49.50322260404819,Sim,Sim
FHV-P-0323,6505742501,71916707679,650574.2501,7191670.7679,-25.38415686237122,-49.50325263704492,Sim,Sim
FHV-P-0324,6505675696,71916438371,650567.5696,7191643.8371,-25.384400656447042,-49.503316027382205,Sim,Sim
FHV-P-0325,6505431677,71916067638,650543.1677,7191606.7638,-25.38473780395998,-49.50355439761399,Sim,Sim
FHV-P-0326,6505275031,71915900543,650527.5031,7191590.0543,-25.384890233086782,-49.503708207043815,Sim,Sim
FHV-P-0327,6505190940,71915817498,650519.094,7191581.7498,-25.384966052268332,-49.503790849527135,Sim,Sim
FHV-P-0328,6507740590,71914058531,650774.059,7191405.8531,-25.38652816776701,-49.50123749296606,Sim,Sim
FHV-P-0329,6507742692,71912320653,650774.2692,7191232.0653,-25.388097018645443,-49.50121603030308,Sim,Sim
FHV-P-0330,6507836874,71912323449,650783.6874,7191232.3449,-25.388093540728732,-49.50112246446619,Sim,Sim
FHV-P-0331,6507836874,71912323449,650783.6874,7191232.3449,-25.388093540728732,-49.50112246446619,Sim,Sim
FHV-P-7101,6511269418,71905976185,651126.9418,7190597.6185,-25.393788727846523,-49.49764030629934,Sim,Sim
FHV-P-7103,6513398181,71906747297,651339.8181,7190674.7297,-25.393070978241713,-49.49553330240613,Sim,Sim
FHV-P-7104,6513993875,71906408857,651399.3875,7190640.8857,-25.393370446532884,-49.49493749605754,Sim,Sim
FHV-P-7107,6511157343,71905099087,651115.7343,7190509.9087,-25.39458166537539,-49.497741886664635,Sim,Sim
FHV-P-7110,6510131425,71906457871,651013.1425,7190645.7871,-25.39336543605492,-49.49877666256833,Sim,Sim
FHV-P-7111,6509578068,71907332836,650957.8068,7190733.2836,-25.392581174382123,-49.49933637473149,Sim,Sim
FHV-P-7112,6508930771,71908413732,650893.0771,7190841.3732,-25.39161195812275,-49.49999173685221,Sim,Sim
FHV-P-7113,6508340506,71909371271,650834.0506,7190937.1271,-25.390753521134204,-49.500589033333014,Sim,Sim
FHV-P-7114,6508044115,71909856571,650804.4115,7190985.6571,-25.39031841888225,-49.500889001861665,Sim,Sim
FHV-P-7116,6507738479,71910767449,650773.8479,7191076.7449,-25.389499218432,-49.50120290080084,Sim,Sim
FHV-P-7117,6507727186,71911250300,650772.7186,7191125.03,-25.389063438404484,-49.50121950708601,Sim,Sim
FHV-P-7118,6508735207,71911232816,650873.5207,7191123.2816,-25.38906900999089,-49.50021754439428,Sim,Sim
FHV-P-7119,6510928544,71911139599,651092.8544,7191113.9599,-25.38913091769826,-49.498036774122745,Sim,Sim
FHV-P-7120,6512857365,71912009441,651285.7365,7191200.9441,-25.38832608034246,-49.496129651533124,Sim,Sim
FHV-P-7121,6512384222,71911998005,651238.4222,7191199.8005,-25.388341211316312,-49.49659972768548,Sim,Sim
