linha,codigo,motivo,detalhes
237,"N/A","Código ou tipo ausente",""
238,"N/A","Código ou tipo ausente",""
239,"N/A","Código ou tipo ausente",""
240,"N/A","Código ou tipo ausente",""
241,"N/A","Código ou tipo ausente",""
242,"N/A","Código ou tipo ausente",""
243,"N/A","Código ou tipo ausente",""
244,"N/A","Código ou tipo ausente",""
245,"N/A","Código ou tipo ausente",""
246,"N/A","Código ou tipo ausente",""
247,"N/A","Código ou tipo ausente",""
248,"N/A","Código ou tipo ausente",""
249,"N/A","Código ou tipo ausente",""
250,"N/A","Código ou tipo ausente",""
251,"N/A","Código ou tipo ausente",""
252,"N/A","Código ou tipo ausente",""
253,"N/A","Código ou tipo ausente",""
254,"N/A","Código ou tipo ausente",""
255,"N/A","Código ou tipo ausente",""
256,"N/A","Código ou tipo ausente",""
257,"N/A","Código ou tipo ausente",""
258,"N/A","Código ou tipo ausente",""
259,"N/A","Código ou tipo ausente",""
260,"N/A","Código ou tipo ausente",""
261,"N/A","Código ou tipo ausente",""
262,"N/A","Código ou tipo ausente",""
263,"N/A","Código ou tipo ausente",""
264,"N/A","Código ou tipo ausente",""
265,"N/A","Código ou tipo ausente",""
266,"N/A","Código ou tipo ausente",""
267,"N/A","Código ou tipo ausente",""
268,"N/A","Código ou tipo ausente",""
269,"N/A","Código ou tipo ausente",""
270,"N/A","Código ou tipo ausente",""
271,"N/A","Código ou tipo ausente",""
272,"N/A","Código ou tipo ausente",""
273,"N/A","Código ou tipo ausente",""
274,"N/A","Código ou tipo ausente",""
275,"N/A","Código ou tipo ausente",""
276,"N/A","Código ou tipo ausente",""
277,"N/A","Código ou tipo ausente",""
278,"N/A","Código ou tipo ausente",""
279,"N/A","Código ou tipo ausente",""
280,"N/A","Código ou tipo ausente",""
281,"N/A","Código ou tipo ausente",""
282,"N/A","Código ou tipo ausente",""
283,"N/A","Código ou tipo ausente",""
284,"N/A","Código ou tipo ausente",""
285,"N/A","Código ou tipo ausente",""
286,"N/A","Código ou tipo ausente",""
287,"N/A","Código ou tipo ausente",""
288,"N/A","Código ou tipo ausente",""
289,"N/A","Código ou tipo ausente",""
290,"N/A","Código ou tipo ausente",""
291,"N/A","Código ou tipo ausente",""
292,"N/A","Código ou tipo ausente",""
293,"N/A","Código ou tipo ausente",""
294,"N/A","Código ou tipo ausente",""
295,"N/A","Código ou tipo ausente",""
296,"N/A","Código ou tipo ausente",""
297,"N/A","Código ou tipo ausente",""
298,"N/A","Código ou tipo ausente",""
299,"N/A","Código ou tipo ausente",""
300,"N/A","Código ou tipo ausente",""
301,"N/A","Código ou tipo ausente",""
302,"N/A","Código ou tipo ausente",""
303,"N/A","Código ou tipo ausente",""
304,"N/A","Código ou tipo ausente",""
305,"N/A","Código ou tipo ausente",""
306,"N/A","Código ou tipo ausente",""
307,"N/A","Código ou tipo ausente",""
308,"N/A","Código ou tipo ausente",""
309,"N/A","Código ou tipo ausente",""
310,"N/A","Código ou tipo ausente",""
311,"N/A","Código ou tipo ausente",""
312,"N/A","Código ou tipo ausente",""
313,"N/A","Código ou tipo ausente",""
314,"N/A","Código ou tipo ausente",""
315,"N/A","Código ou tipo ausente",""
316,"N/A","Código ou tipo ausente",""
317,"N/A","Código ou tipo ausente",""
318,"N/A","Código ou tipo ausente",""
319,"N/A","Código ou tipo ausente",""
320,"N/A","Código ou tipo ausente",""
321,"N/A","Código ou tipo ausente",""
322,"N/A","Código ou tipo ausente",""
323,"N/A","Código ou tipo ausente",""
324,"N/A","Código ou tipo ausente",""
325,"N/A","Código ou tipo ausente",""
326,"N/A","Código ou tipo ausente",""
327,"N/A","Código ou tipo ausente",""
328,"N/A","Código ou tipo ausente",""
329,"N/A","Código ou tipo ausente",""
330,"N/A","Código ou tipo ausente",""
331,"N/A","Código ou tipo ausente",""
332,"N/A","Código ou tipo ausente",""
333,"N/A","Código ou tipo ausente",""
334,"N/A","Código ou tipo ausente",""
335,"N/A","Código ou tipo ausente",""
336,"N/A","Código ou tipo ausente",""
337,"N/A","Código ou tipo ausente",""
338,"N/A","Código ou tipo ausente",""
339,"N/A","Código ou tipo ausente",""
340,"N/A","Código ou tipo ausente",""
341,"N/A","Código ou tipo ausente",""
342,"N/A","Código ou tipo ausente",""
343,"N/A","Código ou tipo ausente",""
344,"N/A","Código ou tipo ausente",""
345,"N/A","Código ou tipo ausente",""
346,"N/A","Código ou tipo ausente",""
347,"N/A","Código ou tipo ausente",""
348,"N/A","Código ou tipo ausente",""
349,"N/A","Código ou tipo ausente",""
350,"N/A","Código ou tipo ausente",""
351,"N/A","Código ou tipo ausente",""
352,"N/A","Código ou tipo ausente",""
353,"N/A","Código ou tipo ausente",""
354,"N/A","Código ou tipo ausente",""
355,"N/A","Código ou tipo ausente",""
356,"N/A","Código ou tipo ausente",""
357,"N/A","Código ou tipo ausente",""
358,"N/A","Código ou tipo ausente",""
359,"N/A","Código ou tipo ausente",""
360,"N/A","Código ou tipo ausente",""
361,"N/A","Código ou tipo ausente",""
362,"N/A","Código ou tipo ausente",""
363,"N/A","Código ou tipo ausente",""
364,"N/A","Código ou tipo ausente",""
365,"N/A","Código ou tipo ausente",""
366,"N/A","Código ou tipo ausente",""
367,"N/A","Código ou tipo ausente",""
368,"N/A","Código ou tipo ausente",""
369,"N/A","Código ou tipo ausente",""
370,"N/A","Código ou tipo ausente",""
371,"N/A","Código ou tipo ausente",""
372,"N/A","Código ou tipo ausente",""
373,"N/A","Código ou tipo ausente",""
374,"N/A","Código ou tipo ausente",""
375,"N/A","Código ou tipo ausente",""
376,"N/A","Código ou tipo ausente",""
377,"N/A","Código ou tipo ausente",""
378,"N/A","Código ou tipo ausente",""
379,"N/A","Código ou tipo ausente",""
380,"N/A","Código ou tipo ausente",""
381,"N/A","Código ou tipo ausente",""
382,"N/A","Código ou tipo ausente",""
383,"N/A","Código ou tipo ausente",""
384,"N/A","Código ou tipo ausente",""
385,"N/A","Código ou tipo ausente",""
386,"N/A","Código ou tipo ausente",""
387,"N/A","Código ou tipo ausente",""
388,"N/A","Código ou tipo ausente",""
389,"N/A","Código ou tipo ausente",""
390,"N/A","Código ou tipo ausente",""
391,"N/A","Código ou tipo ausente",""
392,"N/A","Código ou tipo ausente",""
393,"N/A","Código ou tipo ausente",""
394,"N/A","Código ou tipo ausente",""
395,"N/A","Código ou tipo ausente",""
396,"N/A","Código ou tipo ausente",""
397,"N/A","Código ou tipo ausente",""
398,"N/A","Código ou tipo ausente",""
399,"N/A","Código ou tipo ausente",""
400,"N/A","Código ou tipo ausente",""
401,"N/A","Código ou tipo ausente",""
402,"N/A","Código ou tipo ausente",""
403,"N/A","Código ou tipo ausente",""
404,"N/A","Código ou tipo ausente",""
405,"N/A","Código ou tipo ausente",""
406,"N/A","Código ou tipo ausente",""
407,"N/A","Código ou tipo ausente",""
408,"N/A","Código ou tipo ausente",""
409,"N/A","Código ou tipo ausente",""
410,"N/A","Código ou tipo ausente",""
411,"N/A","Código ou tipo ausente",""
412,"N/A","Código ou tipo ausente",""
413,"N/A","Código ou tipo ausente",""
414,"N/A","Código ou tipo ausente",""
415,"N/A","Código ou tipo ausente",""
416,"N/A","Código ou tipo ausente",""
417,"N/A","Código ou tipo ausente",""
418,"N/A","Código ou tipo ausente",""
419,"N/A","Código ou tipo ausente",""
420,"N/A","Código ou tipo ausente",""
421,"N/A","Código ou tipo ausente",""
422,"N/A","Código ou tipo ausente",""
423,"N/A","Código ou tipo ausente",""
424,"N/A","Código ou tipo ausente",""
425,"N/A","Código ou tipo ausente",""
426,"N/A","Código ou tipo ausente",""
427,"N/A","Código ou tipo ausente",""
428,"N/A","Código ou tipo ausente",""
429,"N/A","Código ou tipo ausente",""
430,"N/A","Código ou tipo ausente",""
431,"N/A","Código ou tipo ausente",""
432,"N/A","Código ou tipo ausente",""
433,"N/A","Código ou tipo ausente",""
434,"N/A","Código ou tipo ausente",""
435,"N/A","Código ou tipo ausente",""
436,"N/A","Código ou tipo ausente",""
437,"N/A","Código ou tipo ausente",""
438,"N/A","Código ou tipo ausente",""
439,"N/A","Código ou tipo ausente",""
440,"N/A","Código ou tipo ausente",""
441,"N/A","Código ou tipo ausente",""
