codigo,utm_e,utm_n,lat_calculada,lng_calculada,motivo
FHV-V-0391,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0392,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0393,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0394,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0395,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0396,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0397,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0398,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0399,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0400,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0401,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0402,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0403,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0404,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0405,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0406,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0407,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0408,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0409,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0410,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0411,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
